,annotation,Dangerous,Dirty,city,labels_dangerous,labels_not_dangerous
0,s_20140101_125835.jpg,4,4,gc,"['tangled_electrical_wiring']","['artificial_lighting','people_walking','stores']"
1,s_20140109_110126.jpg,3.5,3,gc,"['no_sidewalk','no_artificial_lighting']","['non_neglected_plants']"
2,s_20140109_114115.jpg,3,3,gc,"['dark_tunnel','badly_parked_motorcycles']","['artificial_lighting','hotel']"
3,s_20140110_152239.jpg,3,2,gc,"['tangled_electrical_wiring','unfinished_building']","['normal_parked_cars','artificial_lighting','trees','residential_zone']"
4,s_20140117_124302.jpg,3,4,gc,"['damaged_path','road_under_repair']","['people_walking','artificial_lighting','trees']"
5,s_20140304_131403.jpg,3.5,3,gc,"['small_alley','stairs_without_banister','tangled_electrical_wiring','tag_graffiti']","['artificial_lighting']"
6,s_20140515_095119.jpg,3.5,3.5,gc,"['tag_graffiti','small_alley']","[]"
7,s_20140524_105536.jpg,4,4,gc,"['small_alley','no_artificial_lighting','tag_graffiti','tangled_electrical_wiring']","['residential_zone','non_neglected_plants']"
8,s_20140524_110018.jpg,3,4,gc,"['damaged_walls','small_alley']","['artificial_lighting','stores']"
9,s_20140712_123021.jpg,3.5,3.5,sc,"['cars_in_motion','people_walking_on_the_road','tangled_electrical_wiring']","['commercial_zone','people_walking','artificial_lighting']"
10,s_20140712_130145.jpg,3,4,sc,"['no_sidewalk','people_walking_on_the_road','cars_in_motion','tangled_electrical_wiring']","['commercial_zone','people_walking','cars_in_motion','artificial_lighting']"
11,s_20140712_130712.jpg,3.5,3,sc,"['tag_graffiti','badly_parked_cars','tangled_electrical_wiring']","['artificial_lighting','church','normal_parked_cars','stores']"
12,s_20140712_133632.jpg,3,3,sc,"['tangled_electrical_wiring','cars_in_motion','tag_graffiti']","['normal_parked_cars','artificial_lighting','cars_in_motion','residential_zone','people_walking']"
13,s_20140712_133806.jpg,3,3.5,sc,"['street_water','tangled_electrical_wiring','cars_in_motion']","['trees','residential_zone','cars_in_motion','normal_parked_cars','artificial_lighting','people_walking','church']"
14,s_20140712_142251.jpg,3,4,sc,"['cars_in_motion','people_walking_on_the_road','badly_parked_motorcycles','tangled_electrical_wiring','unfinished_building','damaged_parked_car']","['people_walking','artificial_lighting','cars_in_motion','normal_parked_cars','residential_zone','stores']"
15,s_20140712_142644.jpg,4,4.5,sc,"['badly_parked_motorcycles','cars_in_motion','motorcyclist_without_helmet','tangled_electrical_wiring']","['people_walking','commercial_zone','trees','cars_in_motion','normal_parked_cars','artificial_lighting']"
16,s_20140712_143221.jpg,3.5,3,sc,"['graffiti','tangled_electrical_wiring']","['people_walking','artificial_lighting','normal_parked_cars','stores']"
17,s_20140712_143237.jpg,3.5,3.5,sc,"['badly_parked_motorcycles','badly_parked_cars','tangled_electrical_wiring','tag_graffiti']","['trees','artificial_lighting','residential_zone']"
18,s_20140712_143621.jpg,3,3.5,sc,"['tag_graffiti','tangled_electrical_wiring','unfinished_building']","['commercial_zone','people_walking']"
19,s_20140712_143647.jpg,3.5,4,sc,"['tangled_electrical_wiring','tag_graffiti']","['cars_in_motion','people_walking','normal_parked_cars','commercial_zone','artificial_lighting']"
20,s_20140712_144757.jpg,3,4,sc,"['motorcyclist_without_helmet','tangled_electrical_wiring','blocked_sidewalk']","['commercial_zone','residential_zone','artificial_lighting','normal_parked_cars']"
21,s_20140712_144907.jpg,4,4,sc,"['people_walking_on_the_road','tangled_electrical_wiring']","['people_walking','normal_parked_cars','residential_zone']"
22,s_20140712_145043.jpg,4.5,4,sc,"['small_sidewalks','people_walking_on_the_road']","['normal_parked_cars','people_walking','stores','artificial_lighting']"
23,s_20140712_150632.jpg,4,3,sc,"['cars_in_motion']","['cars_in_motion','public_parking','normal_parked_cars','people_walking','mall','artificial_lighting']"
24,s_20140712_151008.jpg,3,2,sc,"['cars_in_motion']","['cars_in_motion','people_walking','artificial_lighting','trees','non_neglected_plants','pedestrian_crossing']"
25,s_20140717_153806.jpg,4,5,lc,"['graffiti','damaged_walls','cars_in_motion']","['people_walking','trees','residential_zone','cars_in_motion']"
26,s_20140717_164757.jpg,3,4,lc,"['tag_graffiti','cars_in_motion']","['traffic_lights','cars_in_motion','trees','people_walking','artificial_lighting']"
27,s_20140717_165729.jpg,4,3.5,lc,"['cars_in_motion','tag_graffiti']","['motorcyclist_with_helmet','cars_in_motion','artificial_lighting','trees','people_walking']"
28,s_20140717_174953.jpg,4,4,lc,"['cars_in_motion','blocked_sidewalk','tag_graffiti']","['commercial_zone','people_walking','cars_in_motion','trees']"
29,s_20140717_175015.jpg,3,4.5,lc,"['cars_in_motion']","['bus_stop','people_walking','traffic_lights','pedestrian_bridge','cars_in_motion','commercial_zone','artificial_lighting']"
